model,family,benchmark,loo_n,loo_gini,loo_top1,loo_top4,loo_eff_count,loo_n_words,content_gini,content_top1,content_mass_share,frac_top1_is_content,attn_gini_mean,attn_gini_agg,attn_top1_agg,attn_n,rd_content_k4,rd_all_k4
gemma-3-1b-it,gemma,gsm8k,300,0.9336152850677166,0.7960374371915535,0.9448208741232618,2.0875279391220545,40.21333333333333,0.683507572844996,0.5060812384317162,0.03499830700657801,0.023333333333333334,,,,,-0.0044444444444444444,0.803347280334728
gemma-3-1b-it,gemma,mmlu,292,0.7731723788715689,0.5096115827951402,0.7440355880673877,6.795113085236545,44.92123287671233,0.685663913331047,0.4466912432319254,0.5379799679793187,0.5616438356164384,,,,,0.09168443496801706,0.10467706013363029
gemma-3-4b-it,gemma,gsm8k,300,0.9158093675361357,0.598234199503728,0.9484130207047906,2.6033735525041757,34.42666666666667,0.6718751593473264,0.5272586110456521,0.012395376024214791,0.0,,,,,0.009111617312072893,0.631578947368421
gemma-3-4b-it,gemma,mmlu,293,0.7972017426918006,0.4924612120743199,0.721768830416622,6.893997328041451,47.027303754266214,0.6935566205756537,0.4091337334185514,0.6014216974544416,0.6006825938566553,,,,,0.07956989247311828,0.1720183486238532
Llama-3.2-1B-Instruct,llama,gsm8k,300,0.8535900432926021,0.7217389884547055,0.8852905722835595,2.5718670085820152,25.35,0.5275600947078188,0.473159248783255,0.08628472507689408,0.043333333333333335,,,,,0.3906810035842294,0.5842450765864332
Llama-3.2-1B-Instruct,llama,mmlu,298,0.7742270326804419,0.4897981484557728,0.7402214459427867,6.148441546416917,33.13422818791946,0.7084656545431705,0.4741659102330984,0.6536158244218074,0.697986577181208,,,,,0.4957446808510638,0.5118279569892473
Llama-3.2-3B-Instruct,llama,gsm8k,300,0.843079732890948,0.6485620334549335,0.8403943703605703,3.018386341176013,31.546666666666667,0.5313171973533225,0.3704809830013134,0.062062374902878144,0.006666666666666667,,,,,0.33248730964467005,0.5502092050209205
Llama-3.2-3B-Instruct,llama,mmlu,297,0.740665537310081,0.45220494895149227,0.665628687339608,8.426390072541976,40.54882154882155,0.6449074515048016,0.37147520575277193,0.5811510003964327,0.5925925925925926,,,,,0.47925311203319504,0.4779735682819383
Mistral-7B-Instruct-v0.3,mistral,gsm8k,300,0.8680229348526921,0.7223472638518285,0.8811154647935825,2.5628102889467255,33.57666666666667,0.4508023355410319,0.3216017781174547,0.08528023483329014,0.04,,,,,0.004662004662004662,0.2632696390658174
Mistral-7B-Instruct-v0.3,mistral,mmlu,295,0.7127315894376661,0.45834505566043454,0.678400160371034,7.660036419172809,33.15593220338983,0.6527722042561286,0.4350029753650039,0.6366573933767816,0.6847457627118644,,,,,0.026490066225165563,0.0763888888888889
