model,benchmark,perturbation,nocot_flip_rate,n_clean_correct,n_joined,answer_change_rate,DE,IE,de_n_included,in_regression
Llama-3.2-1B-Instruct,arc,importance,0.28703703703703703,540,1172,0.2901023890784983,0.18536585365853658,0.2601626016260163,615,True
Llama-3.2-1B-Instruct,arc,random,0.1925925925925926,540,1172,0.22781569965870307,0.10929853181076672,0.1370309951060359,613,True
Llama-3.2-1B-Instruct,commonsense_qa,importance,0.37329286798179057,659,1221,0.39967239967239965,0.16178521617852162,0.26220362622036264,717,True
Llama-3.2-1B-Instruct,commonsense_qa,random,0.3323216995447648,659,1221,0.34725634725634724,0.15330520393811534,0.1940928270042194,711,True
Llama-3.2-1B-Instruct,gsm8k,importance,0.3220338983050847,59,1319,0.38362395754359363,0.008602150537634409,0.3032258064516129,465,True
Llama-3.2-1B-Instruct,gsm8k,random,0.3389830508474576,59,1319,0.4116755117513268,0.008602150537634409,0.2860215053763441,465,True
Llama-3.2-1B-Instruct,math,importance,0.5185185185185185,27,500,0.632,0.010101010101010102,0.5454545454545454,99,False
Llama-3.2-1B-Instruct,math,random,0.37037037037037035,27,500,0.496,0.0,0.44339622641509435,106,False
Llama-3.2-1B-Instruct,mmlu,importance,0.26008230452674896,1215,2850,0.2670175438596491,0.12857142857142856,0.2957983193277311,1190,True
Llama-3.2-1B-Instruct,mmlu,random,0.1925925925925926,1215,2850,0.22035087719298246,0.10487200660611065,0.18909991742361684,1211,True
Llama-3.2-1B-Instruct,mmlu_pro,importance,0.21875,256,1400,0.27785714285714286,0.13973799126637554,0.31877729257641924,229,True
Llama-3.2-1B-Instruct,mmlu_pro,random,0.171875,256,1400,0.22357142857142856,0.13692946058091288,0.21991701244813278,241,True
Llama-3.2-3B-Instruct,arc,importance,0.19399538106235567,866,1172,0.22184300341296928,0.05056179775280899,0.15056179775280898,890,True
Llama-3.2-3B-Instruct,arc,random,0.13163972286374134,866,1172,0.15699658703071673,0.03798882681564246,0.08603351955307263,895,True
Llama-3.2-3B-Instruct,commonsense_qa,importance,0.30533484676503975,881,1221,0.33824733824733827,0.0784313725490196,0.209919261822376,867,True
Llama-3.2-3B-Instruct,commonsense_qa,random,0.18955732122587968,881,1221,0.2334152334152334,0.08843537414965986,0.12471655328798185,882,True
Llama-3.2-3B-Instruct,gsm8k,importance,0.291044776119403,134,1319,0.43669446550416985,0.01327433628318584,0.1913716814159292,904,True
Llama-3.2-3B-Instruct,gsm8k,random,0.27611940298507465,134,1319,0.3752843062926459,0.011013215859030838,0.17180616740088106,908,True
Llama-3.2-3B-Instruct,math,importance,0.3783783783783784,37,500,0.574,0.09302325581395349,0.3953488372093023,43,True
Llama-3.2-3B-Instruct,math,random,0.2972972972972973,37,500,0.438,0.08,0.48,50,True
Llama-3.2-3B-Instruct,mmlu,importance,0.218931475029036,1722,2850,0.2326315789473684,0.03978622327790974,0.21080760095011877,1684,True
Llama-3.2-3B-Instruct,mmlu,random,0.140534262485482,1722,2850,0.17789473684210527,0.044366608289550497,0.13601868067717454,1713,True
Llama-3.2-3B-Instruct,mmlu_pro,importance,0.2276595744680851,470,1400,0.2642857142857143,0.0603448275862069,0.3146551724137931,464,True
Llama-3.2-3B-Instruct,mmlu_pro,random,0.13829787234042554,470,1400,0.19857142857142857,0.04883227176220807,0.15074309978768577,471,True
Mistral-7B-Instruct-v0.3,arc,importance,0.1550561797752809,890,1172,0.1766211604095563,0.0420353982300885,0.0918141592920354,904,True
Mistral-7B-Instruct-v0.3,arc,random,0.08426966292134831,890,1172,0.10665529010238908,0.030871003307607496,0.06284454244762955,907,True
Mistral-7B-Instruct-v0.3,commonsense_qa,importance,0.18692660550458715,872,1221,0.24815724815724816,0.06666666666666667,0.14689265536723164,885,True
Mistral-7B-Instruct-v0.3,commonsense_qa,random,0.12155963302752294,872,1221,0.18755118755118755,0.07023411371237458,0.11036789297658862,897,True
Mistral-7B-Instruct-v0.3,gsm8k,importance,0.33070866141732286,127,1319,0.4131918119787718,0.017605633802816902,0.25528169014084506,568,True
Mistral-7B-Instruct-v0.3,gsm8k,random,0.25984251968503935,127,1318,0.34749620637329287,0.012302284710017574,0.210896309314587,569,True
Mistral-7B-Instruct-v0.3,math,importance,0.6,45,500,0.53,0.05172413793103448,0.6206896551724138,58,True
Mistral-7B-Instruct-v0.3,math,random,0.4888888888888889,45,500,0.458,0.01694915254237288,0.4067796610169492,59,True
Mistral-7B-Instruct-v0.3,mmlu,importance,0.20485494375370042,1689,2850,0.2343859649122807,0.05399195864445721,0.17116599655370476,1741,True
Mistral-7B-Instruct-v0.3,mmlu,random,0.10005920663114269,1689,2850,0.14456140350877192,0.03420752565564424,0.10775370581527936,1754,True
Mistral-7B-Instruct-v0.3,mmlu_pro,importance,0.23058823529411765,425,1400,0.2842857142857143,0.09190371991247265,0.2647702407002188,457,True
Mistral-7B-Instruct-v0.3,mmlu_pro,random,0.1411764705882353,425,1400,0.21357142857142858,0.05664488017429194,0.19607843137254902,459,True
Qwen2.5-7B-Instruct,arc,importance,0.06329113924050633,1027,1172,0.07849829351535836,0.0,0.0,4,False
Qwen2.5-7B-Instruct,arc,random,0.04186952288218111,1027,1172,0.059726962457337884,0.0,0.0,2,False
Qwen2.5-7B-Instruct,commonsense_qa,importance,0.20454545454545456,1012,1221,0.2334152334152334,0.2,0.2,5,False
Qwen2.5-7B-Instruct,commonsense_qa,random,0.12549407114624506,1012,1221,0.15561015561015562,0.0,0.0,5,False
Qwen2.5-7B-Instruct,gsm8k,importance,0.23100303951367782,329,1319,0.3980288097043215,0.004608294930875576,0.03225806451612903,217,True
Qwen2.5-7B-Instruct,gsm8k,random,0.14893617021276595,329,1319,0.31766489764973466,0.008,0.04,250,True
Qwen2.5-7B-Instruct,math,importance,0.35514018691588783,107,500,0.416,0.0,0.16279069767441862,43,True
Qwen2.5-7B-Instruct,math,random,0.205607476635514,107,500,0.388,0.0,0.022222222222222223,45,True
Qwen2.5-7B-Instruct,mmlu,importance,0.133594323464644,4087,5700,0.1731578947368421,0.0,0.0,4,False
Qwen2.5-7B-Instruct,mmlu,random,0.0802544653780279,4087,5700,0.11596491228070176,0.0,0.0,6,False
Qwen2.5-7B-Instruct,mmlu_pro,importance,0.1797752808988764,623,1400,0.22142857142857142,0.0,1.0,1,False
Qwen2.5-7B-Instruct,mmlu_pro,random,0.0898876404494382,623,1400,0.13714285714285715,0.0,0.0,4,False
gemma-3-1b-it,arc,importance,0.22884615384615384,520,1172,0.26023890784982934,0.15803108808290156,0.19430051813471502,386,True
gemma-3-1b-it,arc,random,0.18653846153846154,520,1172,0.24232081911262798,0.15748031496062992,0.16010498687664043,381,True
gemma-3-1b-it,commonsense_qa,importance,0.36312849162011174,537,1221,0.39475839475839475,0.25162689804772237,0.227765726681128,461,True
gemma-3-1b-it,commonsense_qa,random,0.29608938547486036,537,1221,0.33742833742833744,0.22319474835886213,0.18161925601750548,457,True
gemma-3-1b-it,gsm8k,importance,0.4603174603174603,63,1318,0.37101669195751136,0.01568627450980392,0.37254901960784315,255,True
gemma-3-1b-it,gsm8k,random,0.4603174603174603,63,1319,0.3707354056103108,0.02973977695167286,0.3308550185873606,269,True
gemma-3-1b-it,math,importance,0.5416666666666666,24,500,0.598,0.030927835051546393,0.4329896907216495,97,False
gemma-3-1b-it,math,random,0.2916666666666667,24,500,0.456,0.0297029702970297,0.36633663366336633,101,False
gemma-3-1b-it,mmlu,importance,0.24314442413162707,1094,2850,0.2824561403508772,0.18601583113456466,0.2849604221635884,758,True
gemma-3-1b-it,mmlu,random,0.19652650822669104,1094,2850,0.2557894736842105,0.15353805073431243,0.19759679572763686,749,True
gemma-3-1b-it,mmlu_pro,importance,0.22727272727272727,220,1400,0.34285714285714286,0.15789473684210525,0.34868421052631576,152,True
gemma-3-1b-it,mmlu_pro,random,0.18181818181818182,220,1400,0.26785714285714285,0.1111111111111111,0.27450980392156865,153,True
gemma-3-4b-it,arc,importance,0.12270642201834862,872,1172,0.16040955631399317,0.04535864978902954,0.06962025316455696,948,True
gemma-3-4b-it,arc,random,0.0676605504587156,872,1172,0.11177474402730375,0.0273972602739726,0.04636459430979979,949,True
gemma-3-4b-it,commonsense_qa,importance,0.20092915214866433,861,1221,0.266994266994267,0.05944055944055944,0.12703962703962704,858,True
gemma-3-4b-it,commonsense_qa,random,0.13821138211382114,861,1221,0.20556920556920558,0.04805491990846682,0.09153318077803203,874,True
gemma-3-4b-it,gsm8k,importance,0.3157894736842105,152,1319,0.46929492039423804,0.013435700575815739,0.09596928982725528,1042,True
gemma-3-4b-it,gsm8k,random,0.2894736842105263,152,1319,0.41243366186504926,0.013333333333333334,0.058095238095238096,1050,True
gemma-3-4b-it,math,importance,0.43103448275862066,58,500,0.484,0.05102040816326531,0.09183673469387756,98,True
gemma-3-4b-it,math,random,0.3793103448275862,58,500,0.398,0.026785714285714284,0.11607142857142858,112,True
gemma-3-4b-it,mmlu,importance,0.21037463976945245,1388,2850,0.2887719298245614,0.0592503022974607,0.156590084643289,1654,True
gemma-3-4b-it,mmlu,random,0.12175792507204611,1388,2850,0.20280701754385966,0.033928571428571426,0.10773809523809524,1680,True
gemma-3-4b-it,mmlu_pro,importance,0.2576271186440678,295,1400,0.3557142857142857,0.04824561403508772,0.21052631578947367,456,True
gemma-3-4b-it,mmlu_pro,random,0.12542372881355932,295,1400,0.24785714285714286,0.027837259100642397,0.13704496788008566,467,True
