setting,n_paired,acc_clean,acc_lxt4,acc_matched_rnd4,risk_diff,risk_diff_ci_lo,risk_diff_ci_hi,mcnemar_p,cond_risk_diff,cond_ci_lo,cond_ci_hi,cond_mcnemar_p,sig_cond_p05
Llama-3.2-1B-Instruct_arc_k4_matched_rnd,1172,0.5273,0.4462,0.4846,0.0384,0.0059,0.0709,2.369e-02,0.11,0.0632,0.1569,7.162e-06,True
Llama-3.2-1B-Instruct_commonsense_qa_k4_matched_rnd,1221,0.5831,0.4889,0.5119,0.0229,-0.0115,0.0574,2.090e-01,0.0899,0.0436,0.1361,1.943e-04,True
Llama-3.2-1B-Instruct_gsm8k_k4_matched_rnd,1319,0.3609,0.3351,0.3366,0.0015,-0.0233,0.0264,9.524e-01,0.0231,-0.0264,0.0726,4.064e-01,False
Llama-3.2-1B-Instruct_mmlu_k4_matched_rnd,2850,0.4505,0.386,0.4288,0.0428,0.0229,0.0627,2.957e-05,0.1379,0.1059,0.1698,1.212e-16,True
Llama-3.2-1B-Instruct_mmlu_pro_k4_matched_rnd,1400,0.19,0.1779,0.1964,0.0186,-0.0018,0.0389,8.574e-02,0.1165,0.0501,0.183,1.016e-03,True
Llama-3.2-3B-Instruct_arc_k4_matched_rnd,1172,0.7679,0.6971,0.7176,0.0205,-0.0073,0.0482,1.661e-01,0.0656,0.0358,0.0953,2.356e-05,True
Llama-3.2-3B-Instruct_commonsense_qa_k4_matched_rnd,1221,0.7314,0.6183,0.6781,0.0598,0.027,0.0926,4.364e-04,0.0896,0.0527,0.1265,3.054e-06,True
Llama-3.2-3B-Instruct_gsm8k_k4_matched_rnd,1319,0.7051,0.6399,0.6535,0.0136,-0.0129,0.0402,3.420e-01,0.0376,0.0068,0.0684,2.019e-02,True
Llama-3.2-3B-Instruct_mmlu_k4_matched_rnd,2850,0.6267,0.5642,0.5898,0.0256,0.0068,0.0444,8.563e-03,0.07,0.0465,0.0935,7.853e-09,True
Llama-3.2-3B-Instruct_mmlu_pro_k4_matched_rnd,1400,0.3679,0.3207,0.3607,0.04,0.015,0.065,2.128e-03,0.1437,0.0975,0.1899,3.288e-09,True
Mistral-7B-Instruct-v0.3_arc_k4_matched_rnd,1172,0.7807,0.7244,0.7611,0.0367,0.0118,0.0616,4.804e-03,0.0689,0.0427,0.095,3.724e-07,True
Mistral-7B-Instruct-v0.3_commonsense_qa_k4_matched_rnd,1221,0.7396,0.656,0.6798,0.0238,-0.004,0.0515,1.052e-01,0.0432,0.0113,0.075,9.730e-03,True
Mistral-7B-Instruct-v0.3_gsm8k_k4_matched_rnd,1319,0.4329,0.3995,0.4132,0.0136,-0.0097,0.037,2.803e-01,0.0595,0.0201,0.099,4.188e-03,True
Mistral-7B-Instruct-v0.3_mmlu_k4_matched_rnd,2850,0.6439,0.5807,0.6109,0.0302,0.0129,0.0474,7.097e-04,0.055,0.0341,0.076,3.438e-07,True
Mistral-7B-Instruct-v0.3_mmlu_pro_k4_matched_rnd,1400,0.3493,0.3243,0.3343,0.01,-0.0143,0.0343,4.545e-01,0.0675,0.021,0.114,6.053e-03,True
gemma-3-1b-it_arc_k4_matched_rnd,1172,0.4727,0.4155,0.4377,0.0222,-0.0062,0.0505,1.406e-01,0.0523,0.0071,0.0976,2.896e-02,True
gemma-3-1b-it_commonsense_qa_k4_matched_rnd,1221,0.4644,0.3579,0.3989,0.041,0.0088,0.0731,1.443e-02,0.0758,0.0219,0.1298,7.407e-03,True
gemma-3-1b-it_gsm8k_k4_matched_rnd,1318,0.4044,0.33,0.3247,-0.0053,-0.0301,0.0195,7.195e-01,0.0413,-0.0045,0.0871,9.238e-02,False
gemma-3-1b-it_mmlu_k4_matched_rnd,2850,0.4123,0.3779,0.3811,0.0032,-0.0162,0.0225,7.766e-01,0.0655,0.0315,0.0996,2.045e-04,True
gemma-3-1b-it_mmlu_pro_k4_matched_rnd,1400,0.1543,0.1521,0.155,0.0029,-0.0167,0.0225,8.304e-01,0.0556,-0.0242,0.1354,2.127e-01,False
gemma-3-4b-it_arc_k4_matched_rnd,1172,0.8157,0.7645,0.7782,0.0137,-0.0093,0.0366,2.739e-01,0.0293,0.0058,0.0528,1.843e-02,True
gemma-3-4b-it_commonsense_qa_k4_matched_rnd,1221,0.7265,0.6503,0.6765,0.0262,-0.0023,0.0547,8.102e-02,0.0519,0.0197,0.084,2.026e-03,True
gemma-3-4b-it_gsm8k_k4_matched_rnd,1319,0.8347,0.7824,0.8089,0.0265,0.0054,0.0477,1.680e-02,0.0345,0.0131,0.0559,2.090e-03,True
gemma-3-4b-it_mmlu_k4_matched_rnd,2850,0.6323,0.586,0.6098,0.0239,0.0063,0.0415,8.848e-03,0.0549,0.0333,0.0766,8.755e-07,True
gemma-3-4b-it_mmlu_pro_k4_matched_rnd,1400,0.3729,0.355,0.3671,0.0121,-0.0106,0.0349,3.257e-01,0.0747,0.0336,0.1159,5.561e-04,True
